Date,What is found ?,Where,Town/Village,Vehicle,Value,Number of Coins
17/01/17,5 rs coin,Udupi Swada,Devanahalli,,5,1
18/01/17,5 rs coin,Udupi Swada,Devanahalli,,5,1
19/01/17,2 rs coin,Devanahalli Circle,Devanahalli,,2,1
20/01/17,0,,,,0,0
21/01/17,1rs coin,Devanahalli Circle,Devanahalli,,1,1
25/01/17,1 rs coin,"Railway Gate, Devanahalli",Devanahalli,,1,1
26/01/17,2rd ,Devanahalli Circle,Devanahalli,,2,1
02/02/17,5 Rs,Devanahalli Circle,Devanahalli,,5,1
10/02/17,1 Rs,Devanahalli Circle,Devanahalli,,1,3
10/02/17,1 Rs,Devanahalli Circle,Devanahalli,,1,3
Feb-17,2 rs,"Railway Gate, Devanahalli",Devanahalli,,2,3
26/02/17,2 Rs in an auto ,Richmond Circle,Richmond Circle,auto,2,1
17/03/17,1 Rs  ,Devanahalli Food Karts,Devanahalli,,1,1
18/03/17,1 Rs,Udupi Swada,Devanahalli,,1,2
18/03/17,two 1 rs coins near nandi turnoff,Udupi Swada,Devanahalli,,1,2
20/03/17,0,,,,0,0
21/03/17,2 Rs coin,Udupi Swada,Devanahhali,,2,1
23/03/17,0,,,,0,0
24/03/17,0,,,,0,0
25/03/17,2 Rs ,Venkatagiri Kota Flyover,Venkatagirikota,,2,1
26/03/17,0,,,,0,0
28/03/17,2 5 rupee coins,Devanahalli Circle,Devanahalli,,5,2
28/03/17,2 5 rupee coins,devanahalli Circle,Devanahalli,,5,2
01/04/17,1 rs coin,Devanahalli Circle,Devanahalli,,1,1
10/04/17,"10 Rs coin, //Thought about 10 previous night and found it :-)",Devanahalli Circle,Devanahalli,,10,1
11/04/17,0,,,,0,0
12/04/17,0,,,,0,0
13/04/17,0,,,,0,0
18/04/17,0,,,,0,0
19/04/17,0,,,,0,0
20/04/17,1,Nandi Hills,Nandi Village,,1,1
22/04/17,"2,//In a car near nandi turn off, another amazing manifesting stuff.",Nandi Turnoff,Devanahalli,car,2,1
29/04/17,0,,,,0,0
30/04/17,2,"Railway Bridge, Devanhalli",Devanahalli,,2,1
01/05/17,0,,,,0,0
02/05/17,5 Rs,"Railway Bridge, Devanhalli",Devanahalli,,5,1
19/05/17,1 Rs,"Railway Bridge, Devanhalli",Devanahalli,,1,1
28/05/17,10,Jakkur Flyover,Hebbal,,10,4
28/05/17,2,Jakkur Flyover,Hebbal,,2,4
28/05/17,1,Jakkur Flyover,Hebbal,,1,4
28/05/17,0.5,Mekhri Circle,Mekhri Circle,,0.5,4
30/05/17,1 rs coin,"Railway Bridge, Devanhalli",Devanahalli,,1,1
31/05/17,1 Rs coin,"Railway Bridge, Devanhalli",Devanahalli,,1,1
05/06/17,0,,,,0,0
14/06/17,0,,,,0,0
28/06/17,0,,,,0,0
29/06/17,0,,,,0,0
01/07/17,0,,,,0,0
31/07/17,0,,,,0,0
01/08/17,0,,,,0,0
12/08/17,0,,,,0,0
13/08/17,1,Rajarammohan Roy Statue,Sampangirama Nagar,,1,1
17/08/17,,sultanpet,nandi Village,,2,4
17/08/17,,sultanpet,nandi Village,,1,4
17/08/17,,sultanpet,nandi Village,,1,4
17/08/17,2 and 3 rs in the bagina near the grave,Sultanpet,Nandi Village,,1,4
18/08/17,0,,,,0,0
03/09/17,2 Rs coin,BegurKoppa Main Road,Begur,,2,1
07/09/17,"5 rs coin, while walking next to a begger",Koramangala,Koramangala,walk,5,1
15/10/17,"5 rs coin, //During half marathon :-)",M.G Road,M.G Road,,5,1
27/10/17,"50 paise coin, // saw it near Vasanthanagar while in cab. It was on footpath, got down and piacked it up.",Vasanth Nagar,Vasanath Nagar,car,0.5,1
15/11/17,"2 Rs coin, ",Nandi Hills,Nandi Village,,2,1
03/12/17,"2 Rs coin, // Infront of BTM house :-)",BTM house,BTM,walk,2,1
10/12/17,1 rs coin,Bhanneraghatta Anekal Road,Bhanneraghatta,,1,1
14/12/17,1 rs coin,Nandi Turnoff,Devanahalli,,1,1
15/12/17,2 rs coin,Nandi Turnoff,Devanahalli,,2,1
24/12/17,1,BTM,BTM,,1,4
24/12/17,1,Jayadeva Flyover,BTM,,1,4
24/12/17,1,Jayadeva Flyover,BTM,,1,4
24/12/17,"2, // BTM, JP Nagar bus stop and M,G road",M.G Road,M.G Road,,2,4
28/12/17,"//2 at Nandi Turn off, 1 near Sonnenahalli (karahalli junction)",Nandi Turnoff,Devanahalli,,1,3
28/12/17,,Nandi Turnoff,Devanahalli,,1,3
28/12/17,3 coins 1 rs ,Sonnenahalli,Karahalli,,1,3
